el oso;bear;medve
el pájaro;bird;madár
el toro;bull;bika
el gato;cat;macska
el pollo;chicken;csirke
la vaca;cow;tehén
el perro;dog;kutya
el burro;donkey;szamár
el pato;duck;kacsa
el elefante;elephant;elefánt
el pez;fish;hal
el caballo;horse;ló
el canguro;kangaroo;kenguru
el cordero;lamb;bárány
el león;lion;oroszlán
el mono;monkey;majom
el ratón;mouse;egér
el cerdo;pig;disznó
el conejo;rabbit;nyúl
la rata;rat;patkány
el gallo;rooster;kakas
la oveja;sheep;juh
el tigre;tiger;tigris
el pavo;turkey;pulyka
el lobo;wolf;farkas
